"id","lineID","entryGroupID","type","status"
"431","1050","389","Siedl.","ok"
"432","1052","390","Siedl.","ok"
"433","1055","391","Siedl.","ok"
"434","1057","392","Siedl.","ok"
"435","1059","393","Siedl.","ok"
"436","1063","394","Siedl.","ok"
"437","1066","395","Siedl.","ok"
"438","1068","396","Siedl.","ok"
"439","1071","397","Siedl.","ok"
"440","1073","398","Siedl.","ok"
"441","1075","399","Siedl.","ok"
"442","1077","400","Siedl.","ok"
"443","1079","401","Siedl.","ok"
"444","1081","402","Lands.","ok"
"445","1083","403","Siedl.","ok"
"446","1085","404","Siedl.","ok"
"447","1087","405","Siedl.","ok"
"448","1089","406","Siedl.","ok"
"449","1092","407","Siedl.","ok"
"450","1095","408","Siedl.","ok"
"451","1097","409","Siedl.","ok"
"452","1099","410","Siedl.","ok"
"453","1101","411","Siedl.","ok"
"454","1103","412","Siedl.","ok"
"455","1105","413","Siedl.","ok"
"456","1107","414","Siedl.","ok"
"457","1109","415","Siedl.","ok"
"458","1112","416","Siedl.","ok"
"459","1114","417","Siedl.","ok"
"460","1116","418","Siedl.","ok"
"461","1118","419","Siedl.","ok"
"462","1121","420","Siedl.","ok"
"463","1123","421","Siedl.","ok"
"464","1125","422","Siedl.","ok"
"465","1127","423","Siedl.","ok"
"466","1129","424","Siedl.","ok"
"467","1132","425","Siedl.","ok"
"468","1134","426","Siedl.","ok"
"469","1137","427","Siedl.","ok"
"470","1139","428","Lands.","ok"
"471","1141","429","Siedl.","ok"
"472","1144","430","Admin.","ok"
"473","1147","431","Siedl.","ok"
"474","1149","432","Siedl.","ok"
"475","1151","433","Siedl.","ok"
"476","1154","434","Siedl.","ok"
"477","1156","435","Siedl.","ok"
"478","1159","436","Siedl.","ok"
"479","1162","437","Siedl.","ok"
"480","1164","438","Siedl.","ok"
"481","1166","439","Siedl.","ok"
"482","1169","440","Siedl.","ok"
"483","1171","441","Siedl.","ok"
"484","1173","442","Siedl.","ok"
"485","1176","443","Siedl.","ok"
"486","1178","444","Siedl.","ok"
"487","1182","445","Siedl.","ok"
"488","1185","446","Siedl.","ok"
"489","1187","447","Siedl.","ok"
"490","1190","448","Siedl.","ok"
"491","1192","449","Siedl.","ok"
"492","1195","450","Siedl.","ok"
"493","1197","451","Siedl.","ok"
"494","1199","452","Siedl.","ok"
"495","1202","453","Siedl.","ok"
"496","1204","454","Siedl.","ok"
"497","1206","455","Siedl.","ok"
"498","1209","456","Siedl.","ok"
"499","1211","457","Siedl.","ok"
"500","1213","458","Siedl.","ok"
"501","1215","459","Siedl.","ok"
"502","1217","460","Siedl.","ok"
"503","1220","461","Siedl.","ok"
"504","1223","462","Siedl.","ok"
"505","1224","463","Lands.","ok"
"506","1225","464","Siedl.","ok"
"507","1227","465","Siedl.","ok"
"508","1228","466","Siedl.","ok"
"509","1231","467","Siedl.","ok"
"510","1234","468","Siedl.","ok"
"511","1238","469","Siedl.","ok"
"512","1241","470","Siedl.","ok"
"513","1244","471","Siedl.","ok"
"514","1247","472","Siedl.","ok"
"515","1249","473","Siedl.","ok"
"516","1252","474","Gewäs.","ok"
"517","1254","475","Siedl.","ok"
"518","1257","476","Siedl.","ok"
"519","1261","477","Siedl.","ok"
"520","1263","478","Lands.","ok"
"521","1265","479","Siedl.","ok"
"522","1268","480","Siedl.","ok"
"523","1271","481","Siedl.","ok"
"524","1273","482","Siedl.","ok"
"525","1275","483","Siedl.","ok"
"526","1278","484","Siedl.","ok"
"527","1281","485","Siedl.","ok"
"528","1283","486","Siedl.","ok"
"529","1286","487","Siedl.","ok"
"530","1289","488","Admin.","ok"
"531","1291","489","Siedl.","ok"
"532","1294","490","Siedl.","ok"
"533","1298","491","Siedl.","ok"
"534","1301","492","Siedl.","ok"
"535","1304","493","Siedl.","ok"
"536","1306","494","Siedl.","ok"
"537","1308","495","Siedl.","ok"
"538","1310","496","Siedl.","ok"
"539","1312","497","Siedl.","ok"
"540","1314","498","Siedl.","ok"
"541","1316","499","Siedl.","ok"
"542","1320","500","Siedl.","ok"
"543","1323","501","Siedl.","ok"
"544","1326","502","Siedl.","ok"
"545","1328","503","Siedl.","ok"
"546","1330","504","Siedl.","ok"
"547","1332","505","Siedl.","ok"
"548","1335","506","Siedl.","ok"
"549","1338","507","Siedl.","ok"
"550","1340","508","Siedl.","ok"
"551","1342","509","Siedl.","ok"
"552","1344","510","Admin.","ok"
"553","1346","511","Siedl.","ok"
"554","1348","512","Siedl.","ok"
"555","1352","513","Lands.","ok"
"556","1354","514","Siedl.","ok"
"557","1356","515","Siedl.","ok"
"558","1359","516","Siedl.","ok"
"559","1362","517","Siedl.","ok"
"560","1365","518","Siedl.","ok"
"561","1367","519","Siedl.","ok"
"562","1369","520","Siedl.","ok"
"563","1372","521","Siedl.","ok"
"564","1375","522","Siedl.","ok"
"565","1379","523","Siedl.","ok"
"566","1381","524","Siedl.","ok"
"567","1383","525","Siedl.","ok"
"568","1386","526","Siedl.","ok"
"569","1389","527","Admin.","ok"
